,company,location,main_sector,subsector,primary,description
210,Bioner,"SANT JUST DESVERN, Barcelona",Medical Technology,Non-active implantable devices,,"Bioner is engaged in the design, development and commercialization of medical implants. The company's product include Short DM, Top DM system, IKELT, BIKELT, etc."
211,Bioo,"Barcelona, Barcelona",Biotechnology - other,Environmental,,"Bioo is a clean-tech company capable of producing electricity from plant’s photosynthesis in a sustainable and competitive way. The company is specialized in renewable energies, telecommunication hardware and software development. The company offers Bioo Ed, a kit for learning electric power from plants."
212,Biopharma Synergies (BPS),"Barcelona, Barcelona",Professional Services and Consulting,Other; Business development,,"BioPharma Synergies is a consulting company. The company's main aim is to provide commercial and business development support (technical and regulatory as well if required) to companies operating in the chemistry-pharmaceutical and pharmaceutical field and wishing to initiate or boost the commercial activities in the Spanish, or more widely European, market/s."
213,Bioprognos,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation; Diagnostic services,"Cardiovascular; Diseases of the nervous system; Endocrine,nutritional,metabolic diseases; Neoplasms / cancer / oncology","Bioprognos SL provides biomarkers/blood based diagnostic services for cancer treatment. It develops multiple biomarkers disease activity algorithm tests, which include small cell and non-small cell lung cancer, cancer unknown primary, and ovarian cancer tests. Bioprognos is a spin-off of Hospital Clínic de Barcelona."
214,Bioquim,"FRANQUESES DEL VALLES, LES, Barcelona",Supplier &amp; Engineering,APIs and excipients,,"Bioquim is a company that manufactures chemicals for the pharmaceutical industry. The company's products include Sodium Amoxicilline, Sterile Potasium Clabunalate, Oral Cloxacilline Benzatine, etc."
215,Bio-Rad Laboratories,"PRAT DE LLOBREGAT, EL, Barcelona",Supplier &amp; Engineering,Laboratory equipment; Laboratory consumables and reagents,,"Bio-Rad Laboratories S.A. offers a range of innovative tools and services to the life science research and clinical diagnostics markets. The company focuses on Laboratory instruments, apparatus, consumables for life science research, products used to separate, purify, identify, analyze, and amplify biological materials, laboratory diagnostics products to support monitoring and treatment of diseases, etc."
216,BioSeed Capital,"Barcelona, Barcelona",Professional Services and Consulting,Business development; Financial services; Management consulting; Valuation; Technology transfer; Drug Development Consulting,,BioSeed Capital is a consultancy specialized in the fundraising and business development of Biotechnology companies. The company accompanies initiatives to create start-ups and support the professional development of Biotechnology projects.
217,Biosfer Teslab,"Reus, Tarragona",Biotechnology / R&amp;D Services,Analytical services; Diagnostic services,Cardiovascular,"Biosfer Teslab provides services of analysis of fluids and biological tissues by Nuclear Magnetic Resonance spectroscopy and develops medical software, to help and facilitate health professionals and the scientific community to study, diagnose and treat metabolic disorders in order to advance in knowledge and improve the health of people. Biosfer Teslab is a spin-off of Universitat Rovira i Virgili (URV), CIBER de Diabetes y Enfermedades Metabólicas Asociadas (CIBERDEM) and Institut d'Investigació Sanitària Pere Virgili (IISPV)."
218,Biosystems,"Barcelona, Barcelona",Supplier &amp; Engineering,Instrumentation; Laboratory equipment,,"BioSystems S.A. is a distributor of equipment and reagents in the areas of clinical, diagnostic and research agribusiness. The company distributes a wide range of products such as specific reagents for research and diagnostic kits, commercial and specialized instrumentation."
219,BIOTAP,"SANT POL DE MAR, Barcelona",Supplier &amp; Engineering,Medical devices,,BIOTAP are manufacturers of protectors for ears and clinical thermometers.
220,Biotech Tricopharming Research,"Barcelona, Barcelona",Biotechnology - other,AgBio,,"TricoPharming combines biotechnology and agriculture to produce valuable medicinal products in plants. The company using tricopharming techniques to optimize different plants that produce diverse medicinal and aromatic compounds in their trichomes or plant hairs, starting with Artemisia annua. The properties of Artennua (Isolated from Artemisia annua) are suitable for the nutraceutical, natural cosmetics and animal health sectors."
221,Biotechnology Business Institute (BBI),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,University,,"The Biotechnology Business Institute is an active stakeholder for the international pharma &amp; biotech sector in life sciences and drug discovery, in applied educational models for tech transfer and entrepreneurship."
222,Biotronik,"Barcelona, Barcelona",Medical Technology,Active implantable devices; Electro mechanical medical devices,,"Biotronik develops, manufactures, and sells cardiovascular products and equipment. The company offers heart monitoring, cardiac pacemakers and defibrillators, leads and catheters, external devices. The company based in Barcelona acts as a commercial office."
223,Biovert,"CORBINS, Lleida",Biotechnology - other,AgBio,,"Biovert manufactures and markets vegetal nutrition products including fertilizers. The company offers bio stimulants, coadjuvants, deficiency correctors, plant protection products, and soil and water conditioners and correctors under the Manvert brand name."
224,Biovet,"CONSTANTI, Tarragona",Biotechnology - other,Veterinary,,"Biovet develops and manufactures feed additives and premixes for animal feed. The company's services include product development, manufacture of additives, food formulation service, training and consulting, zootechnical services, analytical services, microbiological analysis and mycotoxin analysis service."
225,Biprocel,"Mataró, Barcelona",Biotechnology - other,Environmental,,"Biprocel is a biotechnological company founded in 2011 as an spin-off of Universitat Politècnica de Catalunya (UPC). Biprocel aims to transform cellulosic waste from paper mills into a versatile material with good mechanical properties, as well as flame-retarding, thermal and acoustic insulating, resistant to humidity, dimensionally stable, light and recyclable."
226,Bitac,"Barcelona, Barcelona",Digital Health,E-Medical Record / E-health Record,,"BiTAC is a platform of services that combines a team of specialists in clinical lab, clinical documentalists, IT managers, Chemists and a terminological data base and a group of tools for its exploitation. BiTAC’s main objective is to provide the adoption of standards in the laboratory data, a strictly necessary requirement to guarantee the semantic interoperability in the EHR (Electronic Health Record) projects."
227,Biwel,"Salt, ",Professional Services and Consulting,Human resources services,,"Biwel is a company specialized in the analysis, management, implementation and evaluation of comprehensive programs for the promotion of occupational health for healthy businesses. The company's mission is to inspire, motivate and improve the well-being and quality of life of the people holistically, and of the communities to which they belong."
228,Blanca,"Els Hostalets de Tost, Lleida",Biotechnology - other,Veterinary,,"Blanca is a meeting point aimed at integrating dairy producers, the dairy industry, and dairy researchers. The company provides specialized professionalization programs for producers, veterinarians, consultants, and extensionists from all over the world"
229,Blistersuit,"Sant Boi de Llobregat, Barcelona",Digital Health,E-Medical Record / E-health Record; Medical Big Data &amp; analytics,,"Blistersuite SPD software allows pharmacies to manage compliance aid production seamlessly. The company also produces MAR charts and patient information charts, providing a visual solution for accurate medication management."
230,BloodGenetics,"Esplugues de Llobregat, Barcelona",Biotechnology / R&amp;D Services,Analytical services,"Diseases of the blood, immune disorders",BloodGenetics SL is a biotechnology company which offers genetic diagnosis services and clinical biochemical services for hereditary hematological diseases.
231,Blueberry Diagnostics (BCN),"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation,"Diseases of the blood, immune disorders","At Blueberry Diagnostics, we lead cancer detection with a groundbreaking set of early cancer detection and diagnosis confirmation tests, based on routine blood and urine analyses and powered by our Deep Learning (DL) algorithms"
232,Bluephage,"El Prat de Llobregat, Barcelona",Biotechnology - other,Environmental,,Bluephage is a biotechnology company that specializes in environmental testing solutions. The company has developed microbiological water quality testing products that detect bacteriophages as indicators of viruses that cause serious waterborne diseases. Bluephage is a spin-off of Universitat de Barcelona (UB).
233,Boehringer Ingelheim Animal Health,"Sant Cugat del Vallès, Barcelona",Biotechnology - other,Veterinary,,"Boehringer Ingelheim Animal Health is a research based company, delivering leading solutions to prevent, treat and cure animal diseases."
234,Boehringer Ingelheim España,"Sant Cugat del Vallés, Barcelona",Pharma,Anti-infectives; Biosimilars; Other,"Cardiovascular; Digestive system; Diseases of the nervous system; Endocrine,nutritional,metabolic diseases; Infectious and parasitic diseases; Mental and behavioural disorders; Musculoskeletal system,connective tissue; Neoplasms / cancer / oncology; Respiratory; Other symptoms,deviant clinical findings","Boehringer Ingelheim España, S.A. is focusing on researching, developing, manufacturing and marketing of pharmaceuticals that improve health and quality of life."
235,Bolsaplast,"Sabadell, Barcelona",Supplier &amp; Engineering,Packaging &amp; labeling,,"Bolsaplast is a family business, specialized in manufacturing sterilization packaging for different sterilization methods. Company was founded in in 1962 by the Parés family and is currently run by the third generation. Located in Sabadell, only 25 minutes from Barcelona, it has a workforce of over 50 people, all committed to quality and service. Certified ISO 13485, ISO 9001 and BRC production quality is assured and also management processes and interaction with our customers and suppliers."
236,Bonoom,"Barcelona, Barcelona",Digital Health,Patient Engagement,,Bonoom Healthcare is a cloud-based digital platform which delivers innovative tools for health professionals to help them manage their daily activity.
237,Boston Scientific Barcelona,"Barcelona, Barcelona",Supplier &amp; Engineering,Medical devices,,"Boston Scientific Corporation is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology. The company's commercial office in Barcelona."
238,Brain Health Solutions,"Badalona, Barcelona",Digital Health,E-Medical Record / E-health Record; Patient Engagement,,"Brain Health Solutions focuses on marketing the latest treatments on cognitive remote rehabilitation through NeuroPersonalTrainer®, the Guttmann platform for patients in the areas of adults with acquired brain injury, disorders in pediatric age, dementia, mental health, and intellectual disability. Spin-off of Institut Guttmann. Hospital de Neurorrehabilitació."
239,Braingaze,"Mataró, Barcelona",Digital Health,Predictive Analytics,Diseases of the nervous system; Mental and behavioural disorders,Braingaze develops next-generation Mind Tracking Solutions that predict and identify personal behavior for clinical and commercial applications. The method of Braingaze is based on the discovery of the predictive power of small eye movements as a marker for cognitive visual processing. Tme company is a spin-off of Universitat de Barcelona (UB) and Institució Catalana de Recerca i Estudis Avançats (ICREA).
240,BRASCAT,"AMETLLA DEL VALLES, L', Barcelona",Professional Services and Consulting,Business development; Management consulting,,"BRASCAT is an International consulting company, specialized in Medical Devices. The company helps other companies to develop or consolidate their international expansion, by searching potential customers in target markets, organize trade missions, exhibitions, etc. either through specific projects or through a regular monthly fee. The company also distributes medical devices and other related devices manufactured in Europe. In addition, the company also offers  production plant fully equipped and certified by ANVISA, for the manufacture of medical devices up to class III (classif. Brazil)."
241,Brave Lifescience,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation,,"BRAVe provides the means to detect genomes with small user-friendly devices to identify all forms of life simultaneously, animal, plant, fungal, bacterial and viral genomes. The company uses light-detecting electronic chip technology (CMOS), that covers both well-defined inheritance applications as well as the detection of genomes from infectious agents."
242,Breaz Medical,"Barcelona, ",Medical Technology,Diagnostic Devices,Respiratory,"Breaz is a diagnostic medical device company focused on the early detection of respiratory disease. The company is developing a new class IIa medical device for the prompt detection of COPD in routine primary care consultations. Breaz uses hardware and machine learning to transform complicated data into intuitive, accessible information for clinicians."
243,BrickBio,"Parets del Vallès, Barcelona",Biotechnology / R&amp;D Services,Other; Genomics,,"BrickBio's engineered RNA and protein-chemistry platform technology enables custom tailoring of any protein with homogenous, site-specific and site-selective bioconjugation modifications. Spin-off of Inkemia IUCT Group."
244,Brill Pharma,"Barcelona, Barcelona",Pharma,Other,Diseases of the eye,"Brill Pharma is a pharmaceutical company that researches, develops and markets products for eye health. The company's products include Elynor, Evotears, Parpadual, VITA-POS, etc."
245,Broomx,"Barcelona, Barcelona",Digital Health,Patient Engagement,,"Immersive technology company, offering solutions to create immersive and interactive experiences in physical spaces for a wide variety of users. Our products and services, combining hardware, software, and content platform makes Broomx the right partner for organizations in markets such as healthcare, senior care, corporate well-being and others."
246,Brudy Technology,"Barcelona, Barcelona",Biotechnology - other,Nutraceuticals,,"BrudyTechnology is a biotech company  dedicated to the research, manufacture and commercialization of molecules derived from the Omega-3, specifically the DHA, with the aim of achieving maximum bioactivity."
247,Brugués,"Barcelona, Barcelona",Supplier &amp; Engineering,Chemicals,,"Brugués, S.A. is a company specialized in the distribution of chemical products, dedicated to the purchase, packing and distribution of chemicals, both nationally and internationally. The company's range of services include packaging processes, storage, mixing and dissolution of products and logistics."
248,BSN Medical,"Sant Joan Despi, Barcelona",Supplier &amp; Engineering,Medical devices,,"BSN medical, SLU  is a Spanish subsidiary for BSN Medical, a global medical device company specializing in wound care &amp; related vascular diseases, lymphology and non-invasive orthopaedic products.  In Spain,the company is engaged in sales and distribution of products."
249,"Bsure Medical (HQ, Cornellà de Llobregat)","Cornellà de Llobregat, Barcelona",Medical Technology,Biomaterials,,"BSURE has the objective of being the first platform company for independent, transparent and trustworthy products and services, for diagnosis, prevention and consultation of related aspects as well as treatments for all types of bioimplants. Spin-off of Vall d'Hebron Institut de Recerca (VHIR)."
250,b_TEC Barcelona Innovació Tecnològica,"SANT ADRIA DE BESOS, Barcelona",Public / Non-profit organizations / Medical facilities,Science / Technology park,,"The b_TEC Foundation coordinates the design, development and management of the Diagonal-Besòs Campus, located between Barcelona and Sant Adrià de Besòs, and to promote its contents, involving the administration, universities and the business world. The Campus Diagonal-Besòs is intended to create an innovation hub on industrial technology, with a new model based on the triangle teaching, research and enterprise."
251,BTHT,"Barcelona, Barcelona",Professional Services and Consulting,Human resources services,,"BTHT selects, connects, and engages the right healthcare experts with consulting firms, investment companies, and life sciences companies. Building tomorrow's healthcare together."
252,Butler Scientifics,"Barcelona, Barcelona",Digital Health,Medical Big Data &amp; analytics,,"Butler Scientifics develops technologies that are aimed at making the scientific and clinical research processes easier, faster and much more effective. The company develops autoDiscovery, an intelligent automated exploratory data analysis software that unveils complex relationships hidden in the data files of scientific experiments and clinical studies."
253,B'ZEOS,"Barcelona, ",Biotechnology - other,Environmental,,"B'ZEOS is a material science company which develops novel packaging materials which are bio-based and use renewable resources. Our main focus is development of new materials using seaweed biopolymers, and the manufacturing of these from pilot to industrial scale."
254,Cafosa Gum,"Barcelona, Barcelona",Biotechnology - other,Nutraceuticals,,Cafosa Health is a specialized Pharma Business Unit leader in the category of medicated chewing gum.
255,Caixa Capital Risc,"Barcelona, Barcelona",Investors,Bank fund; Venture capital fund,,"Caixa Capital Risc is the venture capital arm of CriteriaCaixa which invests in innovative companies in their start-up and growth stages. The company has three specialized teams in the areas of Information Technology, Life Sciences, and Industrial technologies."
256,Cannabity Healthcare,"Barcelona, Barcelona",Digital Health,Online Health Communities,,"we are a team of health, research, communication and marketing professionals who believe in the potential of hemp and CBD as treatments and aids for multiple diseases."
257,Capenergy Medical,"Sant Joan Despi, Barcelona",Medical Technology,Electro mechanical medical devices,,"Capenergy Medical is engaged in the development and manufacture of medical devices Tecarterapia. Capenergy offers Tecartherapy equipments for physiotherapy, sports &amp; preventive medicine, post-surgery and uro-gynecological treatment, pain management etc."
258,Cardiolink,"Barcelona, Barcelona",Supplier &amp; Engineering,Medical devices,,"Cardiolink is a company focused on the distribution of implants and medical devices. The company is specialized in the medical sector in different areas: cardiac surgery, general surgery, interventional cardiology, intensive care, interventional radiology, endoscopy, pelvic floor and preservation of organs in transplant."
259,Cardiosafe,"Platja d'Aro, Girona",Supplier &amp; Engineering,Medical devices,,"Cardiosafe is a company which supplies cardioprotection and electromedicine equipment. The company offers their client an Integral Cardioprotection Service (SIC) of their facilities, economically assumable and that complies with current legislation."
260,CardioSOS,"IGUALADA, Barcelona",Digital Health,Other; Health &amp; Wellness (IoT),,Cardiosos Global Protection SL is a company born with the aim to provide protection of health in any sector. The company's first objective is to save a victim who has suffered cardiac arrest by early resuscitation with the use of the defibrillator.
261,Cardiumm,"Barcelona, Barcelona",Digital Health,Telehealth,,Cardiovascular
262,Care Respite,"Barcelona, Barcelona",Digital Health,Remote Monitoring,,"CARE RESPITE is an intelligent monitoring device that helps caring patients and dependent people, at home (e-health) and in institutions. It is based in patented computer vision and artificial intelligence technology that can register and interpret preprogramed risk events that may occur to the dependent person even in the dark. The device will send alerts to caregivers whenever a situation occurs previously identified as risky by the caregiver. Spin-off of Universitat Autònoma de Barcelona (UAB) and Universitat de Barcelona (UB)"
263,CataloniaBio &amp; HealthTech,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Industry association,,"CataloniaBio &amp; HealthTech is the association of companies in the biomedicine and health arena in Catalonia. The association's mission is to promote research, development and innovation (R&amp;D&amp;i) to help the business fabric generate new products and services in biopharmaceuticals, medical technology and digital health to improve people’s wellbeing."
264,Catlab,"Viladecavalls, Barcelona",Biotechnology / R&amp;D Services,Analytical services,,"Catlab is a clinical analysis laboratory. The areas in which Catlab is organized are the following: analytical extra, biochemistry, hematology and hemostasis, immunology, microbiology and serology, citometry, cytogenetics and molecular Biology."
265,CDClinic,"Sant Cugat del Vallès, Barcelona",Digital Health,E-Medical Record / E-health Record,,CDClinic is a software and clinical application in the cloud that allows you to manage your medical practice.
266,Cebiotex,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,Drug delivery,Neoplasms/cancer/oncology,"Spin-off of Universitat Politècnica de Catalunya (UPC) and Hospital de Sant Joan de Déu (HSJD). Cebiotex Biomedical Nanofibers engineering to create a new medical product which can be infused with multiple agents, with special usefulness for low water solubility drugs. Proprietary technology allows to produce biocompatible-biodegradable membranes (protected by several patents in EU, USA and China), and without chemical interaction between the nanofiber polymer and the agent applied."
267,Cellab,"Sant Cugat del Vallès, Barcelona",Biotechnology / R&amp;D Services,Other; Cell culture; Diagnostic instrumentation; Genomics,,We are a regenerative medicine company made up of professionals with more than 20 years of experience producing personalised treatments and predictive medicine services specialized in conserving stem cells and analyzing genome for disease prevention.
268,Celltec UB,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Research facility,,"Celltec UB provides innovation and technology transfer in the field of cell and molecular biology. The company is currently developing and implementing new cell models and methods, which is used to develop compounds and products for third parties, as well as for the development of projects already underway."
269,Cenavisa,"Tarragona, Tarragona",Biotechnology - other,Veterinary,,"Cenavisa, SL is a veterinary pharmaceutical company that engaged in research, development, manufacture and marketing of veterinary products."
270,Centre de Desenvolupaments Biotecnològics i Agroalimentaris (DBA),"Lleida, Lleida",Public / Non-profit organizations / Medical facilities,Research facility,,"DBA is a group specialized in the research and technology transfer of the University of Lleida, which structures its technological capabilities in the field of food and chemical technologies. The DBA center brings together a group of researchers from different scientific fields: chemistry, biology, pharmacy, agronomic engineering, and food science and technology. The activity of the group has different aspects that include the recovery of waste and materials of low commercial value from agri-food industries, the process of manufacture of biodiesel, the study of chemical synthesis processes respectful with the environment, analysis of residues and contaminants in food, the development and validation of techniques of advanced instrumental analysis or the use of biocatalysts for various processes."
271,Centre de Medicina Comparativa i bioimatge de Catalunya (CMCiB),"Badalona, Barcelona",Public / Non-profit organizations / Medical facilities,Research facility,,"Centre dedicated to biomedical research and training; it was set up by the Germans Trias i Pujol Research Institute (IGTP). This new research infrastructure aims to become a reference centre for comparative medicine, surgery, bioimaging and computational models in Europe, while at the same time developing alternative research methods."
272,Centre de Recerca de Nanoenginyeria (CRNE),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"The Center for Research in NanoEngineering (CRnE) is a center of the Universitat Politécnica de Catalunya dedicated to research, development and innovation in the fields of micro and nanoengineering, nanotechnology and nanoscience."
273,Centre de Recerca en Agrigenòmica (CRAG),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Institute; Research facility,,"Center for Research in Agricultural Genomics (CRAG) is devoted to research in the molecular basis of genetic characters of interest in plants and farm animals, and in the applications of molecular approaches for breeding of species important for agriculture and food production. The Center is organized into four different Scientific Programs: Plant Development and Signal Transduction, Plant Responses to Biotic and Abiotic Stress, Plant Metabolism and Metabolic Engineering, and Plant and Animal Genomics."
274,Centre de Recerca en Agrotecnologia (Agrotecnio),"Lleida, Lleida",Public / Non-profit organizations / Medical facilities,Institute,,"The Agrotecnio is a research center specialized in plant, animal and human nutrition sciences within the University of Lleida (UdL) with the mission to carry out fundamental research underpinning translational strategic objectives and to disseminate the findings and outputs from its research activities to society at large, including the private sector."
275,Centre de Recerca en Enginyeria Biomèdica (CREB-UPC),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"The Biomedical Engineering Research Centre (CREB) of Universitat Politècnica de Catalunya (UPC) is a multidisciplinary research center in biomedical engineering. The centre serving the needs of research, technological development, innovation and knowledge transfer of companies, hospitals and institutions related to the field of Health technologies."
276,Centre de Recerca en Sanitat Animal (CRESA),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"The Center for Research in Animal Health (CReSA) is a public foundation for research and technological development and all aspects of studies and education in the field of animal health. The projects are carried out in collaboration with other institutions, and the private sector."
277,Centre de Recerca Matemàtica (CRM),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"The Centre for Mathematical Research (CRM) is a research institute associated with the Universitat Autònoma de Barcelona. The CRM is, in essence, a horizontal infrastructure that gives support to mathematical research groups and encourages the pursuit of emerging lines of research. In 2002 it became a consortium with its legal status, comprising the Institute of Catalan Studies (IEC) and the Government of Catalonia."
278,Centre de Referència en Biotecnologia (CERBA),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Other,,"The main goal of the Center of Reference in Biotechnology of Catalonia (CERBA) is to promote the interdisciplinary and quality research in the area of the biotechnology in Spain.CERBA's  activity is mainly focused on biomolecular engineering (design, synthesis,analysis and production)."
279,Centre de Regulació Genòmica (CRG),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute; Research facility,,"The Centre for Genomic Regulation (CRG) is an international biomedical research institute whose mission is to discover and advance knowledge for the benefit of society, public health and economic prosperity."
280,Centre de Transferència del Coneixement i Valorització de la Recerca de la Universitat Internacional de Catalunya (TTO),"Sant Cugat del Vallés, Barcelona",Public / Non-profit organizations / Medical facilities,Other,,The Office of Transfer of Research Results is the Technology Transfer Office (TTO) of the International University of Catalunya (UIC). It has the mission to facilitate collaboration between research groups and companies and institutions in the environment in order to promote innovation. The aim of the organisation is to boost the orientation of university R &amp; D towards convergence and technological complementarity with the interests of the social and economic environment and presents itself as the direct interlocutor for companies.
281,Centre de Visió per Computador (CVC),"CERDANYOLA DEL VALLES, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"Computer Vision Center (CVC) is a non-profit organization, dedicated to research and development within the field of computer vision. The company focuses on generating knowledge in the field and transferring added-value technology to the industry and to society. CVC aims to contribute to innovation and industrial competitiveness collaborating with companies to develop technological projects."
282,"Centre d’Estudis de Ciència, Comunicació i Societat de la Universitat Pompeu Fabra (CCS-UPF)","Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Other,,"El Centre d’Estudis de Ciència, Comunicació i Societat de la Universitat Pompeu Fabra (CCS-UPF) is a special university centre that aims at bringing closer together society and science. This means that, on one hand, it will foster the scientific knowledge and culture and, on the other hand, it will work for the better alignment between R+D+i - in all its stages and society’s needs and values."
283,Centre d'Estudis Demogràfics (CED),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"Centre for Demographic Studies (CED), is an institution which offers research and training in demography, the science which studies the structure and dynamics of human populations."
284,Centre d'Estudis Sanitaris i Socials (CESS),"VIC, Barcelona",Public / Non-profit organizations / Medical facilities,Institute,,"Centre d'Estudis Sanitaris i Socials (CESS) is an interdisciplinary space of the University of Vic - Central University of Catalonia that brings together and coordinates the training, research and knowledge transfer in the fields of social services, sociosanitary integration and health. The institute develops research and knowledge transfer in palliative care, ICT for Health, Social Services, Bioethics, Clinical Management, Practitioning, Mental Health, Nutrition and Physical Activity."
285,Centre Especial de Recerca Planta de Tecnologia dels Aliments (CERPTA),"BELLATERRA, Barcelona",Public / Non-profit organizations / Medical facilities,Research facility,,"Centre Especial de Recerca Planta de Tecnologia dels Aliments (CERPTA) - UAB is a specialist research center at the Universitat Autònoma de Barcelona, dedicated to the development of food quality and the transfer of technology to food industry enterprises."
286,Centre for Omic Sciences (COS),"Reus, Tarragona",Public / Non-profit organizations / Medical facilities,Research facility,,Centre for Omic Sciences is a scientific facility providing the academic and industrial stakeholders community with fully equipped infrastructure in the systems biology field. COS provides affordable omic services using innovative methods and technologies in all omic sciences.
287,Centre Nacional d'Anàlisi Genòmica (CNAG),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Institute; Research facility,,"Centre Nacional d'Anàlisi Genòmica (CNAG) is a non-profit organization funded by the Spanish Ministry of Economy and Competitiveness and the Catalan Government through the Economy and Knowledge Department and the Health Department. Competitive grants and contractual research with the private sector provide additional funds. The CNAGs mission is to carry out large scale projects in genome analysis that will lead to significant improvements in people’s health and quality of life, in collaboration with the Catalan, Spanish, European and International research and clinical community."
288,Centro de Estudios Superiores de la Industria Farmacéutica (CESIF),"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,University,,"CESIF is a private institution whose activity is focused on specific training and consultancy for the pharmaceutical, parapharmaceutical, biotechnological, food, chemical, cosmetic and, in general, all those sectors related to healthcare."
289,Centro Médico Teknon,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Private clinic,,"Centro Médico Teknon owns and operates a hospital in Spain. The center offers services in medical specialties that include adult hematology, allergy studies, anesthesiology and pain therapy, andrology, assisted reproduction, bloodless medicine and surgery, cardiology, cardiovascular surgery, dermatology, endocrinology and nutrition, endoscopy unit, gastroenterology, general adult surgery, general and internal medicine, general pediatric surgery, gynecology and obstetrics, maxillofacial surgery, nephrology, neurology, neurosurgery, and oncology. The center also offers services in medical specialties, such as ophthalmology, otorhinolaringology, pediatrics, physiotherapy and rehabilitation, plastic and reparative surgery, pneumology, radio-oncology, rheumatology, thoracic surgery, trauma-adult and pediatric orthopedic surgery, urology, and vascular surgery."
290,Ceramtec Ibérica,"VILASSAR DE MAR, Barcelona",Supplier &amp; Engineering,Medical devices,,"CeramTec Ibérica ​​is a sales organization of the CeramTec group that supplies advanced ceramic components for the automotive, electronics, construction and industrial sectors. The company's products are used in the automotive industry, Electronics, Medical Engineering, Mechanics, Equipment, Mechanical, etc."
291,Cercle Tecnològic de Catalunya,"Barcelona, Barcelona",Public / Non-profit organizations / Medical facilities,Foundation,,"Cercle Tecnològic de Catalunya is a Foundation that brings together companies and professionals from the information and communication technologies sector. Cercle Tecnològic promotes networking environments between partner companies and external companies, and between partner companies and the administration, through the organization of various events (public and private), as well as exclusive meetings or the creation of workspace and reflection, the writing and publication of several studies on the sector or the diffusion of their corporations to the national and international scope."
292,Cetir Grup Mèdic,"ESPLUGUES DE LLOBREGAT, Barcelona",Public / Non-profit organizations / Medical facilities,Private clinic,,"CETIR Grup Mèdic is an organization integrated by a group of companies whose mission is tp provide the Health System (both at public and private level), high tech diagnostic tools based in the image, as well as in Nuclear Medicine techniques and therapies."
293,Ceva Salud Animal,"Barcelona, Barcelona",Biotechnology - other,Veterinary,,"Ceva Salud Animal, S.A. produces and distributes veterinary products. The company provides a range of injectables, sprays, pipettes and tablets to treat cattle, pigs, poultry, birds, horses, sheep, dogs and cats."
294,CEX Internacional,"CORRO D'AMUNT, Barcelona",Medical Technology,Other; Single use devices,,"Cex Internacional, S.A. manufactures and packages latex prophylactics-condoms and latex probe covers for vaginal and anal ultrasound scanning. The company's products include Family Natural, Family Delay/Retard, Family plus Fine/Sensitive, etc."
295,CG Health Ventures,"Barcelona, Barcelona",Investors,Business angel,,"CG Health Ventures provides investment and support to innovative start ups. The company has a particular interest in the fields of Health IT, Digital Health and Genomics. The company typically invests in the project early, sometimes even at concept stage."
296,Change Dyslexia,"Barcelona, Barcelona",Digital Health,Mobile Fitness / Health Apps,,Change Dyslexia empowers individuals with dyslexia and institutions with research based applications.
297,Charles River Laboratories España,"Sant Cugat del Vallés, Barcelona",Biotechnology / R&amp;D Services,Analytical services; CRO (Contract Research Organization),,"Charles River is an early-stage contract research company that provides products and services to help expedite the discovery, early-stage development and safe manufacture of novel drugs and therapeutics. The company offers test and development services for vaccines, biosimilars, and medicine to treat cardiovascular, skeletal, endocrine, central nervous system, cancer, and other sorts of ailments."
298,Chasing Science,"Barcelona, Barcelona",Professional Services and Consulting,Business development,,"Chasing Science is a biomedical company that creates value from science-based inventions by developing owned or licensed-in IP projects. The company provides strategic involvement in the ventures co-founded, engaging in activities such as board advisory, market research, team management, product development, financial and legal support, fundraising and various other affairs."
